tconst,averageRating,numVotes
tt0158622,3.7,24676
tt0159273,6.4,109445
tt0159290,7.4,586
tt0159291,4.8,287
tt0159365,7.2,152611
tt0159371,7.3,197
tt0159378,5.3,41
tt0159396,3.6,160
tt0159784,6.2,7024
tt0160009,5.7,30472
tt0160127,5.6,192042
tt0160184,5.3,28717
tt0160239,5.2,109
tt0160240,7.8,36
tt0160256,5.7,209
tt0160261,6.0,85
tt0160270,6.1,11
tt0160275,7.5,178
tt0160289,5.5,1434
tt0160399,6.2,24212
tt0160403,5.9,1350
tt0160425,6.5,28
tt0160434,4.2,226
tt0160447,4.7,221
tt0160480,7.0,14
tt0160484,4.8,11179
tt0160495,4.7,1019
tt0160547,4.9,427
tt0160611,6.3,14163
tt0160616,5.7,294
tt0160644,5.5,3514
tt0160652,4.6,358
tt0160663,5.5,272
tt0160706,5.3,914
tt0160710,6.8,286
tt0160749,6.1,1003
tt0160751,7.8,20
tt0160759,6.7,168
tt0160797,6.4,49205
tt0160859,3.4,111
tt0160870,5.2,47
tt0160905,5.2,609
tt0161003,5.2,273
tt0161081,6.6,131452
tt0161083,5.4,16363
tt0161088,3.1,330
tt0161216,6.4,2370
tt0161860,7.5,13694
tt0162030,3.3,344
tt0162203,5.2,39
tt0162222,7.8,613476
tt0162346,7.3,123985
tt0162650,6.0,79114
tt0162711,4.9,1608
tt0162838,5.5,287
tt0162983,4.8,12948
tt0163025,5.9,332065
tt0163080,5.8,519
tt0163125,5.3,371
tt0163246,3.4,205
tt0163566,4.6,108
tt0163596,5.1,201
tt0163676,4.6,4738
tt0163745,6.4,675
tt0163764,5.9,264
tt0163978,6.6,246820
tt0163983,5.1,15069
tt0164003,5.9,5652
tt0164052,5.8,134960
tt0164182,8.3,14
tt0164184,6.4,121145
tt0164192,4.7,780
tt0164212,6.4,26855
tt0164318,5.6,346
tt0164334,6.4,92642
tt0164545,3.7,493
tt0164810,6.1,1050
tt0164953,6.9,30
tt0164961,6.4,22763
tt0165361,6.1,6643
tt0165400,3.5,270
tt0165452,3.2,48
tt0165642,3.2,177
tt0165713,6.5,12
tt0165800,3.9,641
tt0165832,7.6,34907
tt0165928,4.5,254
tt0165929,6.1,72323
tt0165982,6.7,57289
tt0166013,6.4,768
tt0166110,4.4,7948
tt0166158,5.6,2482
tt0166186,5.6,73
tt0166192,5.6,219
tt0166276,4.8,18708
tt0166339,7.8,10
tt0166370,4.8,1979
tt0166813,7.2,81169
tt0166924,7.9,369226
tt0167116,6.0,3364
tt0167183,4.8,220
tt0167190,6.8,339935
tt0167203,5.5,4774
tt0167260,9.0,1899060
tt0167261,8.8,1713825
tt0167360,5.4,961
tt0167456,4.3,14217
tt0168446,7.1,3390
tt0168504,5.6,1716
tt0168509,6.2,28
tt0168578,4.5,142
tt0168612,5.3,162
tt0168629,7.9,113508
tt0168631,4.7,632
tt0168714,2.5,29
tt0168786,7.3,37202
tt0168856,6.0,6992
tt0169102,8.1,117461
tt0169122,3.5,483
tt0169324,5.7,858
tt0169543,5.6,764
tt0169579,6.4,42
tt0170008,5.4,168
tt0170016,6.3,269819
tt0170367,5.8,40
tt0170452,5.1,643
tt0170508,6.8,206
tt0170691,6.9,42385
tt0171339,3.1,115
tt0171356,5.6,7704
tt0171359,5.9,9804
tt0171433,6.4,52716
tt0171580,6.3,35784
tt0171827,8.9,86
tt0172156,6.6,259648
tt0172182,6.7,115
tt0172464,3.1,504
tt0172495,8.5,1546218
tt0172543,7.0,3920
tt0172632,6.6,1629
tt0172699,4.6,247
tt0172794,4.0,434
tt0172949,3.8,85
tt0172995,5.5,211
tt0173498,4.9,323
tt0173568,6.2,379
tt0173716,6.2,16268
tt0173840,6.4,83211
tt0174336,4.5,4276
tt0174480,5.6,27461
tt0174646,6.5,43
tt0174732,6.1,152
tt0175114,7.3,27
tt0175142,6.2,273170
tt0175526,5.2,14284
tt0176185,4.3,313
tt0176244,3.9,467
tt0176578,6.9,14
tt0176579,2.5,504
tt0176694,8.0,1034
tt0176783,5.9,17194
tt0176883,5.2,302
tt0177068,5.2,790
tt0177185,3.8,450
tt0177195,4.1,423
tt0177213,7.3,60
tt0177513,5.3,40
tt0177636,5.5,294
tt0177650,5.2,2143
tt0177845,6.2,1429
tt0177858,7.7,22500
tt0177882,6.6,5151
tt0177885,4.5,489
tt0177888,5.9,583
tt0177971,6.5,173281
tt0177997,3.8,367
tt0178043,6.2,1336
tt0178050,5.6,1744
tt0178642,5.5,3135
tt0179098,6.6,14449
tt0179144,6.2,56
tt0179183,4.5,7165
tt0179344,2.6,218
tt0179400,5.8,77
tt0179435,5.3,749
tt0179443,3.5,1099
tt0179473,4.1,1561
tt0179626,6.1,51259
tt0179653,7.1,74
tt0179803,4.8,156
tt0179861,3.5,1253
tt0180052,3.9,26542
tt0180073,7.2,55656
tt0180093,8.3,866775
tt0180679,6.3,1936
tt0180683,6.1,142
tt0180734,6.4,32604
tt0181151,5.6,9710
tt0181311,5.6,828
tt0181536,7.3,88002
tt0181689,7.6,568002
tt0181739,6.3,37587
tt0181836,5.7,2457
tt0181852,6.3,409726
tt0181865,7.6,214324
tt0181875,7.9,285193
tt0181945,5.5,150
tt0181984,7.0,55169
tt0182000,5.8,8021
tt0182027,5.9,82
tt0182295,5.9,4781
tt0182508,6.9,3123
tt0183056,6.8,1110
tt0183113,5.3,92
tt0183142,2.5,255
tt0183280,3.3,402
tt0183423,3.9,124
tt0183488,6.7,61
tt0183505,6.6,244594
tt0183523,5.7,75184
tt0183550,6.4,577
tt0183639,4.5,172
tt0183649,7.1,277525
tt0183659,7.0,28965
tt0183790,6.9,194702
tt0183808,4.9,597
tt0183869,6.5,57605
tt0184009,6.0,36
tt0184457,4.7,187
tt0184719,6.8,297
tt0184791,6.1,21655
tt0184858,5.8,41332
tt0184894,6.6,131906
tt0184907,5.1,13288
tt0185007,5.0,403
tt0185014,7.2,65563
tt0185183,2.5,81820
tt0185431,5.3,109451
tt0185542,6.2,439
tt0186029,5.0,79
tt0186045,5.7,15169
tt0186151,7.4,112415
tt0186183,6.1,3720
tt0186202,5.5,934
tt0186221,7.8,18
tt0186454,3.7,470
tt0186549,5.4,414
tt0186566,6.5,84010
tt0186589,5.7,14902
tt0186719,4.2,210
tt0186785,7.6,32
tt0186894,5.8,21328
tt0186975,5.0,15484
tt0187078,6.5,287331
tt0187387,5.3,140
tt0187393,7.2,284693
tt0187512,5.0,5751
tt0187559,5.8,880
tt0187696,6.0,13771
tt0187738,6.7,226799
tt0187750,4.8,369
tt0187761,5.1,119
tt0187847,6.6,44
tt0188045,5.4,303
tt0188055,5.4,2304
tt0188128,6.6,1323
tt0188160,6.1,896
tt0188453,6.0,26006
tt0188490,6.6,85
tt0188518,5.8,881
tt0188575,5.5,79
tt0188688,4.5,170
tt0189192,5.7,19793
tt0189456,4.3,3613
tt0189541,4.9,1595
tt0189998,6.9,43156
tt0190052,4.2,127
tt0190138,6.7,124865
tt0190332,7.9,276497
tt0190374,3.6,35369
tt0190398,4.9,230
tt0190449,6.2,88
tt0190524,4.3,10208
tt0190590,7.7,321470
tt0190736,4.2,628
tt0190861,6.6,8064
tt0190865,5.9,63683
tt0190938,5.4,1009
tt0190994,4.6,149
tt0191037,5.6,2328
tt0191074,5.2,3393
tt0191133,5.6,7425
tt0191177,5.2,88
tt0191211,5.5,51
tt0191242,5.1,631
tt0191397,6.6,67576
tt0191636,7.2,5665
tt0191754,6.1,52361
tt0191787,5.9,79
tt0191889,6.4,89
tt0191996,6.0,4225
tt0192023,6.2,3036
tt0192071,5.7,19584
tt0192110,8.3,39
tt0192111,5.4,14946
tt0192126,4.1,632
tt0192237,6.8,144
tt0192255,5.7,10977
tt0192295,5.7,641
tt0192346,6.6,65
tt0192455,4.7,3855
tt0192528,4.4,132
tt0192614,5.6,33106
tt0192719,4.7,688
tt0192731,4.3,18391
tt0192788,6.3,1317
tt0192789,6.6,25
tt0192912,4.2,122
tt0192947,7.9,51
tt0192949,5.7,1771
tt0193011,5.3,51
tt0193135,5.5,199
tt0193318,3.1,765
tt0193364,4.6,8954
tt0193365,7.2,28
tt0193537,4.0,108
tt0193545,5.7,193
tt0193560,5.2,6193
tt0193598,6.4,22
tt0193854,6.2,2392
tt0193859,4.4,94
tt0194104,7.0,2968
tt0194218,6.7,8844
tt0194368,6.0,4214
tt0194410,4.2,445
tt0194519,6.7,376
tt0195108,7.3,8
tt0195234,6.9,18966
tt0195308,4.3,392
tt0195393,5.0,130
tt0195551,6.4,65
tt0195631,4.9,381
tt0195685,7.4,208998
tt0195714,6.7,267433
tt0195778,5.2,8771
tt0195857,5.2,157
tt0195860,5.4,54
tt0195944,4.2,149
tt0195945,6.1,42634
tt0196068,4.9,235
tt0196069,7.7,8141
tt0196106,4.2,2664
tt0196158,3.5,7616
tt0196216,6.6,39721
tt0196219,2.2,1252
tt0196223,5.3,1253
tt0196229,6.5,282603
tt0196708,6.2,2667
tt0196723,5.6,1424
tt0197072,3.8,649
tt0197096,6.8,2835
tt0197299,3.6,122
tt0197384,5.8,3469
tt0197633,4.8,691
tt0197644,4.4,171
tt0197646,4.7,290
tt0197750,3.9,2365
tt0197753,5.6,560
tt0197862,7.8,80
tt0197929,6.3,28
tt0197951,4.0,548
tt0197996,5.0,447
tt0198013,8.8,18
tt0198021,6.7,35584
tt0198284,4.5,856
tt0198386,5.6,6594
tt0198460,5.8,293
tt0198748,8.1,78
tt0198781,8.1,939262
tt0198893,4.1,180
tt0198903,5.2,263
tt0199007,4.3,417
tt0199129,6.3,275
tt0199290,4.7,3594
tt0199314,5.8,6712
tt0199481,2.7,5372
tt0199504,5.3,65
tt0199602,6.7,35
tt0199626,5.4,25556
tt0199650,3.9,1064
tt0199725,7.2,23090
tt0199727,6.4,5624
tt0199744,5.0,403
tt0199753,5.7,59178
tt0199898,4.8,292
tt0199974,4.8,1135
tt0200027,6.5,29949
tt0200171,6.1,211
tt0200192,5.4,6136
tt0200422,4.7,838
tt0200427,6.9,1779
tt0200465,7.2,185882
tt0200472,5.6,2371
tt0200483,5.3,57
tt0200525,6.3,26
tt0200530,6.6,5776
tt0200550,5.7,118417
tt0200669,5.9,4534
tt0200720,7.0,7800
tt0200940,3.1,353
tt0200954,3.7,949
tt0201020,6.4,204
tt0201275,7.7,57
tt0201394,5.0,1560
tt0201479,3.9,673
tt0201485,5.3,9246
tt0201670,6.0,417
tt0201694,2.6,1110
tt0201726,4.6,349
tt0201737,5.0,197
tt0201844,2.5,4394
tt0201888,6.9,724
tt0201899,6.8,1621
tt0201901,5.5,323
tt0201934,4.7,77
tt0202236,4.7,946
tt0202294,7.2,69
tt0202314,3.1,1321
tt0202360,5.4,63
tt0202402,5.5,11409
tt0202452,4.3,50
tt0202458,1.9,182
tt0202470,6.3,44451
tt0202487,7.7,24
tt0202560,7.1,23
tt0202623,5.4,4888
tt0202641,7.2,1708
tt0202677,6.6,34506
tt0202695,5.4,79
tt0202711,6.4,938
tt0202829,6.9,14
tt0202856,6.3,191
tt0202989,4.5,713
tt0203009,7.6,292409
tt0203019,7.2,121487
tt0203047,6.3,84
tt0203053,5.5,886
tt0203078,5.4,44
tt0203119,7.3,64122
tt0203144,6.6,17
tt0203166,7.4,23365
tt0203206,8.2,10
tt0203230,7.5,30743
tt0203289,6.6,1650
tt0203297,5.3,552
tt0203536,4.6,636
tt0203540,6.8,6340
tt0203580,3.7,293
tt0203584,6.3,253
tt0203632,7.4,14806
tt0203755,6.2,30985
tt0203830,4.7,312
tt0203835,3.1,887
tt0203912,5.3,95
tt0203940,3.9,3128
tt0203952,4.7,151
tt0203975,4.7,3408
tt0204137,6.6,14189
tt0204175,5.4,17281
tt0204250,2.1,698
tt0204313,5.1,38067
tt0204322,5.1,997
tt0204350,4.9,1369
tt0204352,6.7,94
tt0204382,7.2,33
tt0204619,4.7,81
tt0204626,5.3,27994
tt0204640,6.7,3383
tt0204679,7.4,17
tt0204698,7.4,44
tt0204700,5.9,8787
tt0204761,5.6,1960
tt0204885,5.6,93
tt0204932,7.3,4219
tt0204933,4.5,165
tt0204946,6.1,101165
tt0205177,5.6,14184
tt0205271,4.7,19989
tt0205380,4.2,183
tt0205418,2.9,2850
tt0205461,4.2,4596
tt0205498,6.0,221
tt0205526,3.6,181
tt0205729,3.8,56
tt0205738,6.6,520
tt0205778,6.6,82
tt0205873,7.2,16787
tt0205936,5.2,246
tt0206075,3.4,605
tt0206088,6.2,344
tt0206098,6.9,68
tt0206113,6.3,1509
tt0206184,5.0,304
tt0206211,7.6,10
tt0206223,4.3,145
tt0206226,6.0,6403
tt0206275,6.2,64360
tt0206314,6.6,72967
tt0206367,5.0,1242
tt0206420,5.3,10774
tt0206545,7.3,62
tt0206608,6.2,191
tt0206634,7.9,513833
tt0206694,6.7,48
tt0206742,6.4,2126
tt0206762,6.3,1496
tt0206778,6.5,68
tt0206917,6.1,16100
tt0206926,5.6,6017
tt0206963,7.2,5777
tt0207036,5.1,681
tt0207161,5.7,1462
tt0207163,6.3,495
tt0207198,6.8,3720
tt0207201,6.4,215079
tt0207333,5.1,881
tt0207337,4.7,31
tt0207377,4.6,911
tt0207501,4.2,46
tt0207524,6.8,3612
tt0207585,5.9,742
tt0207631,4.4,686
tt0207635,6.5,62
tt0207638,5.6,133
tt0207745,4.6,258
tt0207988,6.0,419
tt0208003,5.2,88509
tt0208017,7.8,45
tt0208037,4.7,437
tt0208050,5.6,401
tt0208092,8.2,878904
tt0208196,7.2,10065
tt0208204,4.7,126
tt0208298,7.1,1682
tt0208412,6.8,34
tt0208491,4.6,777
tt0208870,4.1,144
tt0208874,6.9,24647
tt0208883,6.0,105
tt0208889,6.7,88
tt0208899,5.5,182
tt0208910,8.0,23
tt0208911,6.3,1971
tt0208942,4.3,182
tt0208988,5.1,35663
tt0208990,7.3,20917
tt0208993,6.9,1535
tt0209020,4.4,77
tt0209037,6.9,3304
tt0209077,5.8,30357
tt0209109,4.9,691
tt0209144,8.4,1271576
tt0209163,6.4,336735
tt0209180,8.1,4865
tt0209253,4.2,78
tt0209279,5.4,179
tt0209322,6.3,3533
tt0209475,5.3,83945
tt0209486,4.9,486
tt0209941,6.2,89
tt0209958,6.4,106109
tt0210065,6.7,14311
tt0210070,6.8,49764
tt0210075,6.7,11239
tt0210094,5.4,2816
tt0210149,6.0,726
tt0210223,4.8,228
tt0210299,7.3,3622
tt0210357,6.6,261
tt0210358,6.5,7223
tt0210362,5.9,284
tt0210382,5.8,9869
tt0210470,6.6,68
tt0210567,5.6,4218
tt0210584,6.2,2448
tt0210616,6.7,22279
tt0210756,6.0,438
tt0210776,6.1,41
tt0210816,4.8,194
tt0210930,5.3,241
tt0210945,7.8,223757
tt0210952,5.8,97
tt0210953,5.4,346
tt0211181,4.8,38708
tt0211279,7.6,22
tt0211296,6.8,33
tt0211309,6.5,483
tt0211387,6.7,6745
tt0211423,7.1,21
tt0211443,4.4,59039
tt0211465,6.1,24481
tt0211492,6.8,4607
tt0211661,6.0,1848
tt0211718,7.3,2934
tt0211915,8.3,772984
tt0211919,6.2,165
tt0211933,6.5,77684
tt0211938,5.7,12889
tt0211941,5.5,1588
tt0211946,7.2,14947
tt0212048,4.4,324
tt0212059,5.0,174
tt0212132,7.3,3195
tt0212215,6.1,265
tt0212271,4.2,234
tt0212292,6.8,227
tt0212294,6.0,142
tt0212298,7.0,108
tt0212338,7.0,345039
tt0212346,6.3,220315
tt0212360,6.4,77
tt0212380,6.2,8818
tt0212495,5.0,278
tt0212604,7.3,1966
tt0212667,3.3,181
tt0212712,7.4,59855
tt0212719,6.0,124
tt0212720,7.2,315915
tt0212742,5.3,1782
tt0212815,7.3,4774
tt0212826,7.0,5863
tt0212827,5.7,680
tt0212830,5.3,6242
tt0212867,4.9,1274
tt0212873,7.8,104
tt0212879,6.0,5953
tt0212881,3.9,110
tt0212910,5.7,1306
tt0212974,6.5,4450
tt0212985,6.8,284127
tt0213113,3.8,77
tt0213127,6.2,67
tt0213149,6.2,342652
tt0213203,6.1,13195
tt0213205,6.0,129
tt0213231,4.9,185
tt0213266,7.5,37
tt0213446,5.0,481
tt0213561,6.3,455
tt0213642,3.3,521
tt0213690,3.5,301
tt0213790,5.2,13560
tt0213802,3.2,1919
tt0213847,7.4,107562
tt0213890,7.0,31590
tt0213985,6.9,2633
tt0214032,5.8,62
tt0214106,4.3,149
tt0214140,8.1,36
tt0214277,6.0,288
tt0214388,5.8,23311
tt0214520,5.7,83
tt0214529,4.4,5080
tt0214548,5.9,69
tt0214619,5.5,137
tt0214638,3.5,338
tt0214646,5.9,156
tt0214723,6.2,86
tt0214728,5.9,689
tt0214757,4.4,505
tt0214871,3.6,1635
tt0214878,6.1,1700
tt0215129,6.5,173948
tt0215135,4.4,3625
tt0215139,6.0,491
tt0215223,5.6,48
tt0215232,4.9,248
tt0215458,5.4,123
tt0215516,6.2,1648
tt0215519,5.6,124
tt0215545,6.6,12014
tt0215679,6.1,503
tt0215681,6.6,4271
tt0215719,7.9,48
tt0215727,4.6,133
tt0215750,7.5,270157
tt0215841,6.4,228
tt0215941,3.5,138
tt0216105,6.3,113
tt0216196,4.2,784
tt0216216,5.9,125583
tt0216250,6.2,56
tt0216256,6.3,91
tt0216279,6.0,543
tt0216290,6.9,37
tt0216417,5.8,2240
tt0216522,5.1,242
tt0216578,6.8,1289
tt0216584,5.5,4026
tt0216587,3.2,89
tt0216620,4.4,2391
tt0216625,7.1,14569
tt0216651,7.6,33727
tt0216669,6.3,102
tt0216689,6.6,1289
tt0216746,3.7,1908
tt0216772,4.1,1341
tt0216787,7.2,10159
tt0216799,7.1,6574
tt0216800,7.1,11734
tt0216837,8.4,24
tt0216841,4.2,1060
tt0216890,4.8,511
tt0216930,4.7,1789
tt0216982,6.3,677
tt0216990,6.7,453
tt0217019,6.1,1795
tt0217031,4.8,403
tt0217086,4.6,1508
tt0217107,3.8,727
tt0217119,6.9,1679
tt0217135,6.0,340
tt0217287,3.6,297
tt0217319,5.2,476
tt0217331,5.1,3030
tt0217355,5.7,4058
tt0217505,7.5,456585
tt0217570,4.2,249
tt0217621,4.7,439
tt0217630,5.3,29764
tt0217654,3.5,824
tt0217664,7.7,41
tt0217686,6.6,99
tt0217756,5.3,14941
tt0217758,5.2,634
tt0217780,3.0,142
tt0217787,5.4,209
tt0217788,5.3,182
tt0217802,4.3,230
tt0217824,6.2,1746
tt0217869,7.3,429632
tt0217978,5.7,1559
tt0217979,3.4,712
tt0218000,6.2,666
tt0218032,5.3,202
tt0218053,3.1,233
tt0218067,4.3,2066
tt0218080,3.3,1281
tt0218107,5.6,1163
tt0218112,6.2,1516
tt0218126,3.5,469
tt0218138,4.6,844
tt0218140,8.6,37
tt0218141,5.9,1786
tt0218182,6.2,1714
tt0218298,5.7,617
tt0218323,5.6,346
tt0218378,6.3,6515
tt0218379,6.4,1825
tt0218390,5.9,202
tt0218426,5.3,155
tt0218475,6.6,80
tt0218533,6.7,2528
tt0218561,5.5,87
tt0218581,5.0,2660
tt0218616,6.6,1336
tt0218619,3.9,9369
tt0218625,3.9,1682
tt0218641,3.2,814
tt0218727,5.1,135
tt0218741,5.8,137
tt0218800,5.7,261
tt0218817,6.1,29883
tt0218839,7.4,64780
tt0218864,5.8,7313
tt0218922,6.0,58292
tt0218967,6.8,114518
tt0218978,5.6,109
tt0219171,6.0,2654
tt0219210,5.4,178
tt0219214,3.9,199
tt0219223,4.9,53
tt0219272,5.2,231
tt0219288,7.5,3144
tt0219327,5.7,557
tt0219333,5.7,847
tt0219336,5.5,104
tt0219338,4.9,48
tt0219374,6.7,4031
tt0219400,5.4,6139
tt0219408,5.7,455
tt0219469,5.7,464
tt0219519,6.3,1694
tt0219636,6.2,490
tt0219640,4.1,412
tt0219643,5.4,43
tt0219653,4.9,35256
tt0219687,7.9,58
tt0219699,6.7,72434
tt0219756,5.5,105
tt0219822,6.4,18649
tt0219854,6.1,43407
tt0219952,5.1,10764
tt0219957,4.9,315
tt0219965,6.5,69747
tt0220005,5.8,90
tt0220034,6.5,302
tt0220099,6.3,19745
tt0220100,6.1,6991
tt0220122,6.5,31
tt0220157,6.5,1324
tt0220322,7.3,28
tt0220331,5.3,26
tt0220332,6.3,51
tt0220343,5.4,1416
tt0220371,5.2,38
tt0220399,5.6,89
tt0220506,3.9,47095
tt0220514,3.8,362
tt0220580,6.8,13431
tt0220605,6.9,23
tt0220607,5.7,9
tt0220627,6.8,6886
tt0220631,6.9,1536
tt0220651,6.7,326
tt0220652,5.3,606
tt0220827,6.2,7265
tt0220864,4.2,168
tt0221013,6.6,1072
tt0221027,7.5,268210
tt0221069,6.2,3594
tt0221073,7.1,40387
tt0221074,6.4,851
tt0221197,4.4,414
tt0221218,5.8,38888
tt0221297,4.4,300
tt0221431,4.7,483
tt0221463,3.9,147
tt0221559,6.9,4525
tt0221563,6.0,1229
tt0221637,5.9,97
tt0221799,6.8,4495
tt0221823,7.3,53
tt0221837,6.2,287
tt0221838,6.8,2519
tt0221885,4.9,1172
tt0221889,5.8,3859
tt0221928,5.1,2129
tt0221982,4.5,784
tt0222012,7.9,13494
tt0222020,3.3,640
tt0222023,9.7,11
tt0222024,5.4,7342
tt0222167,4.5,1151
tt0222270,6.1,8107
tt0222293,6.7,2083
tt0222375,5.6,279
tt0222666,3.5,654
tt0222705,5.0,130
tt0222710,7.7,21
tt0222717,4.5,158
tt0222790,6.3,39
tt0222812,5.8,12609
tt0222849,8.2,27
tt0222850,6.9,7939
tt0222851,7.1,23853
tt0222989,7.6,17
tt0223268,4.4,4355
tt0223284,3.5,221
tt0223593,5.9,147
tt0223744,4.2,209
tt0223828,5.4,95
tt0223832,6.5,1327
tt0223856,5.4,250
tt0223889,5.6,98
tt0223897,7.2,121718
tt0223911,5.0,88
tt0223954,6.0,2285
tt0224025,4.1,1049
tt0224050,6.1,311
tt0224084,5.7,116
tt0224086,3.6,224
tt0224394,5.3,112
tt0224451,7.3,89
tt0224578,7.2,3856
tt0224626,4.1,925
tt0224755,6.3,86
tt0225071,5.7,25180
tt0225196,5.5,315
tt0225518,8.2,35
tt0225828,3.9,178
tt0225865,4.6,348
tt0226057,4.2,27
tt0226094,5.9,327
tt0226198,4.7,158
tt0226225,5.4,153
tt0226238,6.0,64
tt0226351,4.3,222
tt0226430,5.7,919
tt0226498,5.9,57
tt0226591,7.5,57
tt0226708,5.6,257
tt0226851,6.6,15
tt0226935,4.8,2190
tt0227005,6.3,19033
tt0227189,3.3,180
tt0227194,5.5,5406
tt0227200,3.3,418
tt0227224,6.0,167
tt0227277,7.0,6714
tt0227445,6.8,131267
tt0227458,6.2,777
tt0227538,5.6,122480
tt0227671,5.3,454
tt0227984,6.3,50297
tt0228004,5.4,227
tt0228054,5.6,193
tt0228121,3.1,160
tt0228180,3.9,419
tt0228214,7.4,10
tt0228242,6.9,1835
tt0228277,6.1,786
tt0228301,5.3,590
tt0228333,4.9,56348
tt0228488,6.2,2016
tt0228525,7.5,25
tt0228536,5.9,536
tt0228687,7.3,6671
tt0228690,2.8,178
tt0228720,4.2,297
tt0228750,6.3,58139
tt0228786,6.9,63932
tt0228871,5.8,1309
tt0228878,3.4,118
tt0228889,6.9,47
tt0228891,4.9,537
tt0228906,5.8,18
tt0228977,7.3,64
tt0228982,6.7,251
tt0228992,6.1,145
tt0229002,6.1,1215
tt0229003,4.8,567
tt0229021,5.7,340
tt0229211,5.1,194
tt0229226,6.3,107
tt0229260,4.0,39182
tt0229340,7.3,5679
tt0229362,3.8,381
tt0229664,7.6,2313
tt0229752,4.9,113
tt0229792,5.0,135
tt0229942,5.4,94
tt0230011,6.9,127497
